sentence,label
. @KotakBankLtd @udaykotak official got in touch. Issue not addressed. #unhappy #patheticservices,sadness
Omg I can't believe jay leno is going off the air,surprise
John and his 'magic box' #lost,sadness
I just tried installing those missing plugins ... what a pain!,sadness
but now i have no money for a phone,fear
"good lord, just seen the agency work for our upcoming Open Day. Money for Jam",sadness
but Idea where is this popup still sticked on clicked element looks better. So my working code for stick popup to some element : html I already tried something like this: But isn't working. ,sadness
Holy crap! It's raining in LA and I don't have a jacket!  oh no.,love
epic day/night. disappointing loss #canucks but watching star trek made it so much better  live long &amp; prosper friends. night \\//-_-\\//,love
It is so exhilarating taking on the challenge of demonstrating + explaining WHY #JamesJoyce's #Ulysses is so endearing &amp; wonderful!,joy
@she_shines92 aww that sucks,surprise
Putin feels it acceptable to bomb &amp; kill aid workers. Soon he may be sitting at the same table as Trump!! #Armageddon #USApleasedont #horror,fear
Friday!!!!!!!!!! Wooo and nothing to do.  Nuggets better pull it off tonight.,love
ugh... hangover. sign that i'm getting old,surprise
@ChurdAllan fucked my coupon that goal! ,anger
"@Ms_Asia_Pacific @jgsuing @PilosopoTanya @HuffingtonPost @HuffPostPol as a fellow UP grad, i shiver at the shallowness of his arguments",fear
"@daveockun I hate you , Fleetwood is my favorite band...I'm so jealous  ok I still love you haha",love
Feels like throwing up!,surprise
@jaime_scurr: any team in the world would be totally elated to get to have you on it XD,joy
@TzumiXIV huff puff,anger
Feel so grim + ugly atm,sadness
Sippin on the goose &amp; bull all night has got me twisted lol...on my way home from Club Wet. Interesting night,love
@therealkers awe I miss your sweet smile! Come visit me and @ciara_wilson sometime when we're not all working????,fear
The pine colada starburst nasty. Don't @ me,sadness
@PearseDoherty @harrymcgee @IrishTimes That might sting for a bit lads but you'll get over it.     #betterwithsinnfein,anger
Watch this amazing live.ly broadcast by @huntermcaseyy  #musically,joy
I got overexcited about pizza and burned my mouth.,surprise
@marcihearts I will be sending it to you when I get my first check if I make enough lol I have only worked like 8 hours so far,love
"@hank1914 Hey, that link didn't work for me",love
#haikuchallenge #haiku\n\nThe crisp autumn air\nMy freedom purchased through death\nNo one will mourn me,sadness
Tim,sadness
@tinkypen are you all going without me,fear
@indermethil True. We were rejoicing the fact that we signed a quality young CB but we need one more at least. @MarcBartra ? mebbe :P,joy
I don't even #feel #anger anymore can't explain it .. #Tulsa #Charlotte #Trayvon #SandraBland #Philando #Ferguson #BatonRouge #MichaelBrown,anger
im full. i had a tripple thick chocolate milkshake from mcdonalds now i feel sick,surprise
@jonfavs Don King is an insult to the intelligence of the Black Community.  What are these people thinking?,anger
Njoying sunday @netrockers plce and learning abt more in joomla,surprise
#smile every morning to a positive head start with your #clients relations,joy
Loving Susy,joy
Tonight was fun. Love my girl Tanna!,love
".@Harry_Styles I hope you never go a day without something to make you smile. You deserve all good things. Please follow me?\n??????????\n,",joy
#Malaysian police arrest  people for suspected links to #terrorism including three #foreigners\n\n#Malaysia,fear
My #anxiety is rising tonight and I'm not sure why. Sometimes I wonder if I'm a magnet for any free-floating anxiety in the universe.,fear
@KingJames @chrisbosh\n To good hearts I lost my job I'm Responsible  families My Information in profile even dollar if canít just Re-tweet,sadness
Martin Roth leaving V&amp;A shoes the effects of #Brexit: bright and talented foreigners made to feel unwelcome and leaving U.K. #cnews,joy
wow their is no pancake mix,surprise
"Lady across the way had a miscarriage, say a prayer",joy
Maybe the entire Russian team will test positive for meldonium and the North Americans will get to replace them #optimism,joy
@doctorofinfo I was just introducing a little levity to the convo. Yep!,joy
put your path and your shadow in a set. apply your animation to the set and it'll affect both. a really terrible example where I move both at once.,surprise
@MaritessDeLeon aww tessy wanna hug?,love
@questlove when are people going to realize that these 'riots' are just perpetuating hate. Saying you're going to boycott a city!?! #lost,sadness
Can't believe @virginmedia are putting their prices up!! They already know I'm struggling to pay my bill &amp; won't change my package!! #raging,anger
"there is no shame in fear, what matters is how we face it.",fear
@RobertF3 correct! I ADORE him. I just plucked him up and put him under my arm cuz he was cryin.  All better now! Hahaha,sadness
@lolbethie that sounds great right about now. It's ridiculously hot in my house,love
@abramsandbettes i sent one abrams  and it was all surrounded with weather,surprise
It would have been great to see that material approached using queer theory. @foxvertebrae @britishmuseum,surprise
"#Terencecutcher #Tulsa the man onthe helicopter said he looks like a bad dude, that is the problem, when they see black they see bad, ",sadness
"@JackAndAHat butter up the walls, nightmare",fear
All of you can have fun tweeting all day while im cleaning hair  LOL,love
Look forward to the detours because they bring delightful surprises. #lifequote ,joy
I'm using the ImageMapster jQuery plugin,fear
i hate being sick. i miss @cynthiasheree @lucyowns and @larilync,love
@alicehouston sorry I'm just angry my drone flew away,anger
#disgracefulesin I resent all men in some way; for some or no reason at all. #esinscountdown,anger
"I'm moving this weekend &amp; my sugar daddy will replace it so, it is what it is. Niggas still happy.",joy
And it pisses me off more they killed people who surrendered. Hands up and all. If hands visible you shouldn't be fearing for your life,fear
What if.... the Metro LRT went over the Walterdale?!?! ?? #yeg ,joy
@XcourtneylisaX well i really cant belive that  xxx,surprise
@SopanDeb @johnrobertsFox @azizansari Let's not stereotype all South Asians as relentless beat reporters.,anger
@wahrbear @marinarchy @diamndsapphre There is some hilarity in someone who is literally openly anti-science calling others anti-science.,joy
At Charle's with the power out. LOL! Damn SaveMart lost power and we could not buy beer.,anger
Already misses @CMontecillo,joy
Well dinner was disastrous my uncle lashed out at me for no reason he just told me to shut up ! ?? Confused since i wasn't even talking,anger
I burnt myself,love
@JessicaValenti @nytimes I don't know... Wasn't punk mostly about white men throwing tantrums?,anger
Stu Nicholls's site has a lot of examples of how to do this without javascript. It's a really excellent resource.,fear
"@Jonasbrothers It Was The Best Evar &amp; My First,, You Didnt Awnser Any Of My Questions  xoxo",surprise
@CI  I don't think Monalisa has respect for anyone but herself! I think she'll ruffle a few feathers. #TheJail,anger
english class! working on interactive orals,surprise
When u are strong u offend the weak &amp; insecure. STAY STRONG. Joshua :- #god #internationaldayofpeace #actorslife,anger
????Yeah?? PAUL??????  #glorious #BB,joy
@MitchBenn Waah! You were in Aberdeen? F**K why do I miss all the best gigs?!,love
"@paraplyene @soupper i just read it and it's so fun??!!!! So lighthearted and cheerful, i was right, it's a double cavity for me.",joy
I feel so deflated. No more doggy.,love
I have  rabid grizzly bears I'm going to scatter in neighborhoods all over America.\n\nThey're poor refugees!\n\n#InYourNeighborhoodNotDC,anger
@RogueCoder We are in so much trouble!! I don't think the Rev will see the funny side of our project. ,fear
"@SiobhanSynnot  Oh, good God. Quentin Letts is doing one of his 'comedy' turns. #angry @bbcthisweek @afneil #BBCTW",anger
I have the Job  this is a nice day it can not be better,love
Good morning joyful people. Choose happiness to have a great day today #morning  #happiness #grandmercurejktkemayoran,joy
"@TheSummerIsHere Your ass looks horrible! Oh, is that your face?",fear
"@pixelbase @steverumsby I care about Eurovision! And yes, they have a 50% jury-based vote this year  #eurovision2009",surprise
Watch this amazing live.ly broadcast by @footballrocks #lively #musically,joy
Its so Fucking hot! Damn no air conditioning.,anger
@ParamjitGarewal way to go #London. Nice job electing a #muslim #jihadist for mayor. Good luck with your future #terror attacks #sadiqkhan,fear
Yay bmth canceled Melbourne show fanfuckingtastic just lost a days pay and hotel fees not happy atm #sad ,anger
"BBQ's gone well ! Weather stayed good which is a right bonus. Just off to bed, training in the morning at 06:30 then work",surprise
@iamkiara__  im so sick  I fell over last night outside coz I was putting something in the bin,love
@oscar_perria a multimillionaire spoiled brat who gets In a self righteous huff bc his friend is Muslim is a non starter bye!,anger
@ThatBritishDude no okay you don't not need to be going out of your way to make sure you are pleasing everyone do what makes you happy,joy
realising you have no conditioner after already shampooing ???? ,fear
OK this is really odd. I have a list of about 20 pairs of TV's that look like: etc,joy
@MrsCassonC @_jordyn WAS THERE A CLOWN IN YOUR NEIGHBORHOOD?  #creepy #EnoughIsEnough,fear
"is slowly crunching the reality that june is fast approaching. in other words, classes again, and another year will be added to my age.",surprise
lol haha very funnyyy lol im talking to my bestfriend ashleyyyy!!!,love
@RoseTintMyWorId fucking hell mate absolute nightmare ??,fear
Overwhelming sadness.  This too shall pass.  #lonley #startingover,sadness
@ThomsonCares Sam- yes we have! Not helpful at all! We need this sorting ASAP! You keep promising stuff that doesn't happen!!!! ,anger
Only Geo is capable of cheering me up??????,joy
Late night #thoughts. Feeling #restless.,fear
"@KaliyahPjones lmao...thats sad, kinda discourages me 4rom goin if the shit's wack",fear
it's all Brexit fault!,joy
@gabexmosh &quot;with done&quot;?,love
"Bloody hell Pam, calm yourself down. But could have sworn something black &amp; hairy just ran across the carpet, #perilsoflivingalone #nervous",fear
When you have  doe run the opposite side of you ?? ,sadness
Pats in philly at 2 am. I love it. Mmm cheesesteak.  Miss my boyfriend   but I love vacation.,love
people in my house do not know how to close doors,joy
@RaptheRenegade all good! Take a rest,love
@tracecyrus plz dont fall in love with tokyo and never come home,surprise
my mobile phone refuses to charge!!  either the battery is broken or the chargerrr ( booooo,joy
"oh dear, they selected the worst bit for highlight for soprano guy",surprise
@ericajo42 @saynerd01 oh look! it's our new house in santa barbara! http://i41.tinypic.com/2hi2t4y.jpg  hahha i wish,surprise
where are britney g. and allan allan?  they are my favs and i think they are out of town?,fear
I think I love a part of me saying some cynical words. Even though I smile when I say them. Do you think it's bad?,love
I have to work in the morning while my friends get to party it up.....stupid bberry lite flashing red and I have no messages!,love
Really fucking loved him,love
Smokeys dad is sad :/,sadness
Favourite quote of the year so far is by @ameliameech 'I swore at a parsnip' ?? ,anger
I need to add some controls to context menu. Is it possible? If yes,fear
@princesssuperc you were amazing on snl!! loved it!,love
going to watch some tv now - crazy night out - up at 7am for work tomorrow  I'll live somehow! At least it means I finish early!,anger
me taking a picture by myself: *awkward smile*\nme on picture day: *awkward smile*\nconclusion: stop smiling ;'(\n#pictureday #smile #ornot,joy
Watch this amazing live.ly broadcast by @paulzimmer  #musically,joy
 Any direction would be GRRRRREAT!,surprise
@GuardianAus @guardian because there is a realistic probability that a clown might be their next president. #clown #uspol ,fear
my sister is a douchebag,love
guys irritate me,anger
@chocolovere i feel the same way every day,sadness
"Making my own #Brexit Sadly w/o  ( Gate C  in Hounslow, Middlesex)  ¬†pic.twitter.com/xphHriWgmh",fear
how to have a glowing face? my complexion is always so pale,sadness
"Absolutely raging at the changes to CAS, what a joke",anger
"Just heard what happen at grandad hometown last night such a terrible news ??, hope everyone okay ??",fear
Pappadeux has some yummy strawberry lemonade,surprise
untypical kinda Friday #dull,sadness
@ggreenwald What if the supposed animosity is all bullshit to con the Iranians?,anger
"1.2 mile run and 450 meter swim, things are looking better and better... Laying off the bike today",anger
Be #happy. Be #bright. Be YOU :) #identity #TimelessTips #friendship #family #forest #water #family #TrueLove #God #RoadSoFar #you #LifeTrip,joy
im so gloomy today,sadness
Doing a mass cleanout of my room before rearranging it. Just sent lovely out to buy me a bin and a bookshelf since mine sucks. Bad mood,surprise
My #Fibromyalgia has been really bad lately which is not good for my mental state. I feel very overwhelmed #anxiety #bipolar #depression,sadness
Getting cable hooked up in new place just in time for @NBCChicagoPD and @NBCChicagoMed premiers is like God smiling down on me. #OneChicago,joy
"How could such a crooked,stuck up,delusional,dim&amp; #dark hearted dud be surprised losing&amp;prob also ppl won't let their crimes drop! #nwo imo",sadness
"@MikeyAllStars  We are of like minds this evening , my dear!",surprise
You know you're in love when all you can do is smile whenever you talk about how he is to someone.,joy
Condolences to the  JC and the Georges family.. #sad,sadness
"Everything is far away because time is short, no rest for the weary.",sadness
@m_warner Yikes. The wrath of Maddie...,anger
im at scotts being a fatty,surprise
@xMyLifesAStoryx rob got lucky that game he beat me 209-205,anger
@PARISDENNARD why should I listen to someone with a tie like that? #awful,fear
@ralphp eagerly anticipating twitpics,love
I think I may have just lost my job... FML,anger
yo yo yo! i like ice cream,surprise
"if bill compton has wii, why can't he have twitter?",sadness
Happy Star Wars Day  May the fourth be with you!,love
@dish_answers I've contacted @dish @dish_answers #awful #service #whathappenedtocustomerservice,fear
@asexynyfemale just make sure you have it well done,love
It's better to be wetter than it is dry' - @RLevin certainly found that hilarious #GBBO,joy
Jeff was right! Call of Duty pwns. Now i just gotta figure out what to do with this xtra copy of Wolvarine I bought earlier this week.,love
new madden  video was gonna be up but xbox is being an ahole and not going through ???? #struggles,anger
@laureeenwillam can't cope wi her sour face and tiny pout ????,sadness
The news is disheartening. Everything that is going on is a result of a lack of understanding and misinformation by the media. #sadness,sadness
sky news blame everything on Brexit...there's is positives but all we get is negative headlines from sky morons!,love
I mourn. ha..r / ambe was ruined. what was once an ongoing shitpost about Tony's crimes was hijacked by not so vaguely racist memers,sadness
@Lrihendry I'm not sure we like this comparison.  USA should emulate #Israel's methods of protecting civilians against #terror attacks,fear
the†Lord†turn his face toward you and give you peace. Numbers : #truth #trust #promise #calm #justice #great #mighty #protected #delight,joy
"@cassapel Damn, I got all excited for nothing  hahaha",love
my husband lost £ when he booked an apartment through @Airbnb that didn't exist... @AirbnbHelp didn't care  #airbnbnightmare,fear
@imDevinLopez happy bday bro! ????,joy
"As if he heard my thought on the ether, my #ex has just posted #facebook pic of himself snuggling up with said #cats... now Im just #angry",anger
@AustinWilde  well i see ur moving onto the next cute guy,surprise
Hmmm. Using TinyTwitter on a small non-touch screen is really not much joy,surprise
"i swear to god the worst drug is loving someone. physical withdrawals aren't that bad, emotional withdrawals sting a little more",anger
anxiety level- ,fear
@Rob_Hammond Were on the way home from a night in London! Was lovely! Now working all weekend and Monday  when the weathers nice x,love
@IrishTimesPol @IrishTimes Irish citizens boiling drinking water in  leaves one foot firmly in the bog!,anger
I miss @abhorredlife so much  I wish I had enough money to be with him again,love
"@shimian lol. DK has actually dropped from top of the table, surprisingly Arms Warrior is top of the DPS at the moment #shocking",fear
Police don't wanna be called pigs but they keep actin like em....honestly that's even an insult to pigs,anger
Have the producers of @soverybritish ever been outside of their country? These are universal problems. #worldwide ,fear
I'm scared that my coworkers are going to submit me to one of those 'wardrobe makeover' shows. #fear #fashion,fear
No worries! Keep at it...it's overwhelming at first,sadness
I am trying to create a plot of several data series that are contained in a pandas DataFrame. Let's use as an example: This code produces a simple line chart with two different data series: ,joy
@MrStuchbery @britishmuseum A veteran priest could probably whip out a heart in about 30 seconds with that... ‚ù§Ô∏èüî™üò±,love
Related: Doug Lea put this up last week,fear
At social.  just saw G-1.. Awwww,love
@kellanator I don't mind Sam. But I liked Kate more.  I don't like Chris. He's smarmy.,love
I'm such a fan of endless #laughter with #friends and enjoying #happiness together. #FridayFeeling #weekend,joy
@mari_possa Happy Happy Bday Baby Girl. Love Ya!!!! Hope you get EVERYTHING you want,surprise
a good shorty has so much to offer &amp; it's sad that some of you niggas don't even see it when she right in front of your face and too late,sadness
@chelseahandler I don't think your a girls girl #fraud #bully #celebeffer,fear
Got approximately 3 hours of sleep last night....I love my life,love
"@Gaethe Lol, yes  Hence my wanting to watch more!",love
Worry makes you look at the problem and God makes you look at the promise.† #problem #promise   #faith #God #theanswer #spiritu...,fear
Day  and I am elated because I'm taking PTO tomorrow so I'm doneeeee. But:,joy
@RamEsRock  rompes mis ilusiones con lo de thrasher haha,love
"is tryna find her a 30 yr old junt with a 401 k, stable job, good home with an extra room 4 me and my baggage..so tired of u young dudes",anger
@dish_answers I've contacted @dish @dish_answers  #service #whathappenedtocustomerservice,fear
All the 'juniors' are now wearing purple at ollafest while I'm here fighting with my alarm about when I need to wake up for German #sadness,sadness
I loved johnny carson now I'm going to hate seeing jay leno go  (via @womanschitchat) that's what I was waiting for someone to say!,love
"I wish I could fast forward  months from now, I'll know then where I'm at with my girl, my classes, and basketball. Rn I have pure #anxiety",fear
"@miasmom1 Awhhh age doesn't matter, you awesome lady you!",love
@Matt_Vega @Matt_Vega sikeeee.I'm sick *cough*,surprise
baby alex i miss you  ily&lt;3 good night&lt;/3,love
@zhenerak I thought I was your best friend?,fear
I forgot #BB was on tonight ? that is how much the real world has been distracting me #horrid ????,fear
@khloe_speaks sad music,sadness
@mandyjohnson I'll be honest.. I hope that annoying Southern bint with the 'look at me' pout goes out this week! Selasi #FTW,sadness
This weather got me fucked up. Like you either be sunny and hot or gloomy and cold. No in between.,sadness
Hannah: 'This week on Survivor: Find out who is more buoyant. Gen X or Millenials!' #survivor,joy
"I believe the work I do is meaningful; my clients would agree but at the end of the day, I feel like a pawn, lost in this chaotic world.",sadness
@WestermannNina xDD it's a song that can not be weary (?),sadness
"Fuck, I cut my finger!",love
@MikeGrunwald Anything is better than a Trump ramble. He is awful. Truly truly awful.,fear
Sir respectfully....we know where you stand on Brexit......London needs your full attention.,fear
Donnie trumpeter is a vapid and vacant vile viper slithering through the landscape and playing on the gears of the fearful and afraid.,fear
"@natetron Yo nate, what's going on with Morgie? Is she ok??",surprise
"Working from home today. Got the flu, not the SWINE though",surprise
@larainefan She does especially Pink ones LOL  What beautiful creatures they are!,love
"@atlabps He doesn't intimidate me, it just annoys me to have him by my side. The further he is, the better I feel",fear
"@ddcl @ABC not nice.  Wishing harm on another human being is deplorable.  Your comments show how human, and humane you are. #bully",fear
"@mattstottwrites For me not so much outrage as ëoh, using female body to sell something, AGAINí",anger
All the bright places :(,joy
"Guys will go see Constance 	 logically",surprise
ìWorry is a down payment on a problem you may never have'. †Joyce Meyer. #motivation #leadership ,fear
I wonder what would happen if I were a father. #weary,sadness
"@powertwitter Not a fan of the layout change of hyperlinks. I don't like the indentation and, well, I'm clicking and no link shows.",love
"@iSmashFizzle that's me all the time. I carry ginger candy, peppermint oil and sea-bands at all times #anxiety",fear
"Today I reached  subscribers on YT!! #happy, #goodday, #thankful",joy
@GriffinBowie @AliMcClimond sorry to #offend u griffin!!,anger
"I should be sleep, but im not! thinking about an old friend who I want. but he's married now. damn, &amp; he wants me 2! scandalous!",sadness
"I'm due for a big change! I've prayed on it, I think I deserve it #positivity #optimism",joy
@BeShirtHappy I know what you mean. My little dog is sinking into depression... he wants to move someplace tropical,surprise
Rear garden alarm activated  at Telford house at ..,fear
@bobcesca_go @sesmithesq \nDidn't Florida  teach you anything? I live here in Palm Beach County and lived through that nightmare.,fear
"@ExaltedCaptain reality in the form of endless tragedies. She didn't know how to react at first, being too frightened to repeat another--",fear
@britishmuseum a death mask??,surprise
@NewAgeInsiders @ChaoticWrestlin @davienne_long make sure you tell them how scared you are #revenge ????????,anger
needs a little lie down. not feeling great today. boo,surprise
"@Jessicaveronica MARRRRRRRRRRY ME! &lt;3 have fun partying tonight, have a drink for me, if only i was 18 i wud come there just to see you!",love
@jpodhoretz I still respect you. I suppose there is so little to be gleeful about these days so take what you can. Good for you.,joy
The little sniffle at the end of the song gets me every time. #rejoice,joy
"I can't wait till it's Sunday, a new episode of Supernatural but then there are only 6 episodes left now",sadness
@abguerraartist  I am not a pussy! damnit!  [sending you an e-mail right now btw],sadness
Congrats to #Nicole #bb ... Fix that nose now ??????  #petty,anger
#Stigmabase | UK -  Nearly  % Fewer International Students Likely to Study in Britain after Brexit  ¬†,surprise
"I'm now totally addicted to Farm Town. Frankly, it's more fun that fixing laptops or studying the diseases that will kill us all.",surprise
@kelliekado Happy Birthday! I hope you are doing well and had a great Birthday day,love
"@midnight #EndTrumpweek please, it's #depressing me.",sadness
@yiannis_k good question  could they?,surprise
So now... yeah. I'm home again.\nStill feeling mixed up inside &amp; kinda gloomy. But a little more optimistic that I'll figure this out.,sadness
miss your smile,surprise
"@Singaholic Good morning, love! Happy first day of fall. Let's make some awesome #autumnmemories #annabailey #laughter #smile",joy
@ashleypratt Oh come on!!! You get next week off and I get next week full of exams!,joy
Stop tracking back you fucking potato faced cunt errrr infuriating ??????????  #Rooney #mufc,anger
don't provoke me after letting me down !,anger
I have a job interview with @BarclaysUK in Loughborough next month #nervous!!!,fear
"Happy Star Wars Day, may the 4th be with you  my lil' 12yr old bro is at home playing with a lego AT-AT and dozens of stormtroopers.",surprise
@MxJackMonroe I couldn't get on with it either. Bits started drooping that shouldn't droop. GP said mooncup alone to blame.,sadness
Online now !!!:) all day come play with me !! I'm happy happy horny playful sweet sour;),joy
@NationalGallery @greekisinart ART=FREEDOM Visited the gallery but unable to see the impressionist paintings belonging to collection.When up,love
Like he really just fucking asked me that. #offended,anger
I always forget how much fun kyle is!,surprise
@Fly_Norwegian quite simply the #worst #airline #worstairline I've ever used! #shocking #appauling #dire #dismal #beyondajoke #useless,fear
Think Val might be going this week. I'll have to take the rest of the week off work to mourn. I'm sure they'll understand. #GBBO,sadness
@Alanafergusson snap meee,anger
I would just give her with their naked body. ,fear
"midnight cry.. wish the person I wanted, wanted me right now",love
why are plane tickets so expensive,joy
Upsidedown tomato plants died!,fear
Boooo Animal collective is already sold out.  Guess I'll be missing that show,love
my gawwddd ! 6 headshotss inna row? im on fyaaahhh!,anger
I KnO they're my guilty pleasure like shopping   @diorchick0420,love
I'm so annoyed/sad YouTube is burning itself to the ground ????,anger
@Moss1982 bad times?,anger
I'm getting more impressed with this brewery. Sod Brexit and send more o... (IPA Citra Galactique)  ¬†,fear
"It's not that the man did not know how to juggle, he just didn't have the balls to do it.\n #funny #pun #punny #lol ",joy
Well stubbornly ambivalent. Biggest political decision in our lifetime and he goes all Hamlet on us. #Brexit,surprise
I actually got a bit of a tan today haha sadly will be working all weekend won't get a chance to enjoy the glorious sunrays boo,love
